"""Remember Me"" Default Value","""Kom ihåg mig"" Standardvärde"
"(Not %s?)","(Inte %s?)"
"* Required Fields","* Obligatoriska fält "
"Address","Address"
"Address Information","Adressen Information"
"Already registered?","Redan registrerad?"
"Back","Tillbaka"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Genom att skapa ett konto med vår butik, kommer du att kunna gå igenom kassan snabbare, lagra flera leveransadresser, granska och spåra dina beställningar på ditt konto och mer."
"Cannot load configuration from file %s.","Kan inte ladda konfiguration från fil %s."
"Checking &quot;Remember Me&quot; will let you access your shopping cart on this computer when you are logged out","Kontroll &quot;Kom ihåg mig&quot; låter dig komma åt din kundvagn på den här datorn när du är inloggad ut"
"Checkout as Guest","Checkout som gäst"
"Checkout as a Guest","Checkout som gäst"
"Checkout as a Guest or Register","Checkout som gäst eller Registrera"
"City","Stad"
"Clear Persistence on Log Out","Rensa Persistence på Logga ut"
"Close","Stäng"
"Company","Företag"
"Confirm Password","Bekräfta Lösenord"
"Continue","fortsätta"
"Country","Land"
"Create an Account","Skapa ett konto"
"Easy access to your order history and status","Enkel åtkomst till din orderhistorik och status"
"Email Address","E-postadress"
"Enable ""Remember Me""","Aktivera "" Kom ihåg mig"""
"Enable Persistence","aktivera Persistence"
"Fast and easy check out","Snabbt och enkelt checka ut"
"Faster checkout","Snabbt checka ut"
"Fax","Fax"
"Forgot Your Password?","Glömt ditt lösenord?"
"Forgot your password?","Glömt ditt lösenord?"
"General Options","Allmänna Alternativ"
"If you have an account with us, please log in.","Om du har ett konto hos oss, vänligen logga in."
"Loading next step...","Laddar nästa steg ..."
"Login","Logga in"
"Login Information","Inloggnings information"
"Login or Create an Account","Logga in eller skapa ett konto"
"New Customers","Nya Kunder"
"New Here?","Ny Här?"
"Password","lösenord"
"Persist Shopping Cart","Ihållande Varukorgen"
"Persistence Lifetime (seconds)","Persistence Lifetime (seconds)"
"Persistent Shopping Cart","Ihållande Varukorgen"
"Personal Information","Personlig information"
"Please enter the following information to create your account.","Ange följande information för att skapa ditt konto."
"Please log in below:","Vänligen logga in nedan:"
"Please select region, state or province","Välj region, stat eller provins"
"Register","Registrera"
"Register and Checkout","Registrera och kassan"
"Register and save time!","Registrera och spara tid!"
"Register to Create an Account","Registrera dig för att skapa ett konto"
"Register with us for future convenience:","Registrera dig hos oss för framtida bruk:"
"Registered Customers","registrerade kunder"
"Registration is free and easy!","Registreringen är gratis och enkelt!"
"Remember Me","Kom ihåg mig"
"Returning Customers","Återkommande kunder"
"Save in address book","Spara i adressboken"
"Save multiple shipping addresses","Spara flera leveransadresser"
"Select State/Province...","Välj Stat/Provins ..."
"Select a billing address from your address book or enter a new address.","Välj en faktureringsadress från din adressbok eller ange en ny adress."
"Ship to different address","Frakta to annan adress"
"Ship to this address","Frakta till denna adress"
"Shopping cart has been updated with appropriate prices","Varukorgen har uppdaterats med rimliga priser"
"Sign Up for Newsletter","Registrera dig för nyhetsbrev"
"Sign in to speed up your checkout process","Logga in för att snabba upp din kassaprocessen"
"State/Province","Stat/Provins"
"Street Address","Gatuadress"
"Street Address %s","Gatuadress %s"
"Submit","Skicka in"
"Telephone","telefon"
"To proceed to Checkout, please log in using your email address.","För att fortsätta till kassan, vänligen logga in med din e-postadress."
"VAT Number","VAT Number"
"View and track orders and more","Visa och spåra beställningar och mer"
"Welcome, %s!","Välkommen, %s!"
"What's this?","Vad är det här?"
"What\'s this?","Vad är det här?"
"Zip/Postal Code","Postkod"
